model,accuracy,precision,recall,f1,roc_auc,false_negative_rate,cost_sensitive_score
logistic,0.9736902441820474,0.9995399125833908,0.9048313202832153,0.9498305825773309,0.9921816459476378,0.09516867971678468,-2287.0
xgboost,0.9983377278459246,0.9991633549466639,0.9947938359017077,0.9969738077846186,0.9998334389828344,0.005206164098292378,-129.0
catboost,0.9909434827467615,0.9984972091026192,0.9685547688463141,0.9832980972515857,0.9997150197488366,0.031445231153685964,-762.0
