iter	Passed	Remaining
142	2704	4859
143	2721	4838
144	2738	4816
145	2755	4793
146	2773	4773
147	2790	4751
148	2806	4728
149	2824	4707
150	2842	4687
151	2859	4665
152	2877	4646
153	2895	4625
154	2913	4605
155	2931	4585
156	2949	4565
157	2967	4545
158	2986	4526
159	3002	4504
160	3021	4486
161	3038	4463
162	3055	4442
163	3072	4421
164	3089	4400
165	3106	4378
166	3123	4357
167	3139	4335
168	3157	4315
169	3173	4293
170	3191	4274
171	3208	4253
172	3225	4232
173	3243	4212
174	3261	4192
175	3279	4173
176	3296	4153
177	3313	4132
178	3330	4111
179	3348	4092
180	3364	4071
181	3382	4051
182	3398	4029
183	3414	4007
184	3430	3986
185	3447	3966
186	3464	3946
187	3481	3925
188	3497	3904
189	3513	3882
190	3530	3862
191	3546	3841
192	3561	3820
193	3577	3799
194	3593	3777
195	3608	3756
196	3625	3735
197	3641	3715
198	3657	3694
199	3674	3674
200	3691	3654
201	3707	3634
202	3724	3614
203	3741	3594
204	3756	3573
205	3774	3554
206	3791	3535
207	3808	3515
208	3823	3494
209	3839	3473
210	3854	3452
211	3869	3431
212	3886	3412
213	3902	3391
214	3918	3371
215	3934	3351
216	3951	3332
217	3967	3312
218	3984	3293
219	4000	3273
220	4015	3252
221	4032	3232
222	4049	3213
223	4068	3196
224	4086	3178
225	4104	3160
226	4121	3141
227	4137	3121
228	4153	3101
229	4169	3081
230	4185	3061
231	4201	3042
232	4217	3022
233	4232	3002
234	4248	2982
235	4265	2964
236	4281	2944
237	4296	2924
238	4312	2905
239	4328	2885
240	4346	2867
241	4362	2848
242	4378	2829
243	4394	2809
244	4410	2790
245	4426	2771
246	4441	2751
247	4457	2732
248	4473	2712
249	4489	2693
250	4505	2674
251	4520	2655
252	4536	2635
253	4552	2616
254	4567	2597
255	4583	2578
256	4599	2559
257	4615	2540
258	4632	2521
259	4648	2502
260	4663	2483
261	4679	2464
262	4694	2445
263	4710	2426
264	4725	2407
265	4743	2389
266	4759	2370
267	4774	2351
268	4790	2332
269	4807	2314
270	4822	2295
271	4839	2277
272	4856	2259
273	4872	2240
274	4890	2223
275	4908	2205
276	4925	2187
277	4943	2169
278	4962	2152
279	4979	2134
280	4997	2116
281	5014	2098
282	5031	2080
283	5049	2062
284	5065	2044
285	5081	2025
286	5098	2007
287	5115	1989
288	5131	1970
289	5146	1952
290	5161	1933
291	5177	1915
292	5192	1896
293	5208	1877
294	5224	1859
295	5240	1841
296	5255	1822
297	5271	1804
298	5288	1786
299	5304	1768
300	5322	1750
301	5338	1732
302	5355	1714
303	5372	1696
304	5387	1678
305	5402	1659
306	5418	1641
307	5433	1623
308	5450	1605
309	5466	1587
310	5482	1569
311	5499	1551
312	5515	1532
313	5530	1514
314	5546	1496
315	5562	1478
316	5578	1460
317	5594	1442
318	5610	1424
319	5626	1406
320	5643	1389
321	5659	1370
322	5675	1353
323	5691	1334
324	5706	1316
325	5721	1298
326	5737	1280
327	5753	1263
328	5770	1245
329	5786	1227
330	5801	1209
331	5817	1191
332	5834	1173
333	5850	1156
334	5865	1138
335	5881	1120
336	5897	1102
337	5912	1084
338	5928	1066
339	5946	1049
340	5962	1031
341	5977	1013
342	5994	996
343	6010	978
344	6027	960
345	6043	943
346	6058	925
347	6074	907
348	6090	889
349	6105	872
350	6121	854
351	6137	836
352	6153	819
353	6168	801
354	6184	783
355	6199	766
356	6215	748
357	6230	731
358	6246	713
359	6262	695
360	6278	678
361	6295	660
362	6310	643
363	6326	625
364	6341	608
365	6356	590
366	6372	573
367	6389	555
368	6404	538
369	6420	520
370	6436	503
371	6453	485
372	6468	468
373	6483	450
374	6500	433
375	6516	415
376	6533	398
377	6549	381
378	6565	363
379	6582	346
380	6599	329
381	6614	311
382	6631	294
383	6648	277
384	6664	259
385	6681	242
386	6697	224
387	6712	207
388	6727	190
389	6742	172
390	6759	155
391	6775	138
392	6791	120
393	6806	103
394	6823	86
395	6838	69
396	6852	51
397	6868	34
398	6884	17
399	6901	0
