iter	Logloss
0	0.6258485314
1	0.5794886317
2	0.5423601565
3	0.5080167856
4	0.4883697468
5	0.4698530692
6	0.4544043564
7	0.4438395759
8	0.421341221
9	0.402155802
10	0.3881173274
11	0.3760405569
12	0.3687531196
13	0.3403892707
14	0.323868854
15	0.3204314788
16	0.3166871393
17	0.3030424253
18	0.2972235214
19	0.2854695371
20	0.2775744875
21	0.2530041861
22	0.2428789154
23	0.2257858517
24	0.2199505704
25	0.212821295
26	0.2031033309
27	0.1918663192
28	0.1836718456
29	0.1793575755
30	0.1739170428
31	0.1709963789
32	0.1689092293
33	0.1655001043
34	0.1622757569
35	0.1584694809
36	0.1549893407
37	0.1531606588
38	0.1503652765
39	0.1483307629
40	0.147026577
41	0.1454225795
42	0.1432191547
43	0.1402977513
44	0.1394355381
45	0.1365733666
46	0.1325045814
47	0.1315146831
48	0.1279801398
49	0.1261016507
50	0.124340877
51	0.121816019
52	0.1212604021
53	0.11948198
54	0.1165319471
55	0.1160809343
56	0.1139139145
57	0.1135861978
58	0.1133113395
59	0.1112900989
60	0.1106127314
61	0.1085467809
62	0.107628107
63	0.106564355
64	0.106245031
65	0.1049387179
66	0.1040106935
67	0.1029052122
68	0.1017083524
69	0.09939871272
70	0.09884754583
71	0.09848652049
72	0.09825584249
73	0.09711981914
74	0.09643281403
75	0.09631233798
76	0.09604468152
77	0.09501639375
78	0.09479210218
79	0.09431676966
80	0.09236237452
81	0.09148214313
82	0.09040070547
83	0.08993195084
84	0.08942985601
85	0.08803680618
86	0.08600783621
87	0.08558648767
88	0.08516662618
89	0.08489115816
90	0.08402280145
91	0.08296602924
92	0.08242624984
93	0.08141640586
94	0.0799174603
95	0.07869242584
96	0.07809703303
97	0.07699179721
98	0.07678794743
99	0.07638778803
100	0.07511432506
101	0.07433245097
102	0.07367747276
103	0.07295458774
104	0.07219237022
105	0.07188473015
106	0.07114790962
107	0.07101833955
108	0.07039200271
109	0.06976281904
110	0.06890528679
111	0.06785194091
112	0.0672279335
113	0.06690562112
114	0.06611782207
115	0.06532458196
116	0.0651598209
117	0.06480682508
118	0.06431508797
119	0.06418746124
120	0.06350870869
121	0.06272135682
122	0.06260338537
123	0.06207073421
124	0.06152301632
125	0.06066829511
126	0.0601285606
127	0.0593979642
128	0.05916172389
129	0.05838598664
130	0.05789910291
131	0.05727426523
132	0.05706166736
133	0.05654088467
134	0.05590312187
135	0.05544526071
136	0.05487497717
137	0.05453770886
138	0.05453496826
139	0.05371401433
140	0.05347200977
141	0.05294008583
142	0.05268880094
143	0.05227168794
144	0.05173964065
145	0.05154414144
146	0.05089520016
147	0.05075195358
148	0.05042619035
149	0.05029663557
150	0.04983155279
151	0.0496230794
152	0.04927984278
153	0.04871758173
154	0.0482580939
155	0.04773771908
156	0.04704430494
157	0.04691805184
158	0.04666667234
159	0.04638638361
160	0.04621029729
161	0.04603927062
162	0.04562729868
163	0.04523439003
164	0.0448713423
165	0.04459036448
166	0.04410621261
167	0.04384242732
168	0.04375295005
169	0.04359574976
170	0.04351881977
171	0.04321685136
172	0.04265805982
173	0.04223569274
174	0.04175413309
175	0.04123646672
176	0.04073836298
177	0.04069757666
178	0.04005202893
179	0.03983143268
180	0.03949028241
181	0.03907086598
182	0.03861343738
183	0.03826640433
184	0.03783955504
185	0.03761104726
186	0.03745619332
187	0.0371622743
188	0.03702848112
189	0.03674197367
190	0.03643200443
191	0.03615046731
192	0.03591052472
193	0.03537989965
194	0.03511126776
195	0.03456634775
196	0.0342977843
197	0.03422209808
198	0.03363353939
199	0.03327095634
200	0.03310101
201	0.03296620036
202	0.03260575739
203	0.03251368974
204	0.03232053145
205	0.03225156122
206	0.03199602817
207	0.03188747993
208	0.03170139475
209	0.0314650409
210	0.03120893771
211	0.03100701801
212	0.03089630634
213	0.0305601705
214	0.030476431
215	0.03021642327
216	0.02978197605
217	0.02954139089
218	0.02916262271
219	0.02896071016
220	0.02874620099
221	0.02852224908
222	0.02842849044
223	0.02807142615
224	0.02781774959
225	0.02773275331
226	0.02757677573
227	0.02752215212
228	0.02736644482
229	0.02704941707
230	0.02692342289
231	0.02656056957
232	0.02625301892
233	0.02600116681
234	0.02590127416
235	0.02560292743
236	0.02518345605
237	0.02484364448
238	0.02447456413
239	0.02420885267
240	0.02407048101
241	0.0239262696
242	0.02383619755
243	0.02363416377
244	0.02337819052
245	0.02328622906
246	0.02303044135
247	0.02276507793
248	0.02273626241
249	0.02263273118
250	0.02246752519
251	0.02242338841
252	0.0221844507
253	0.02202287284
254	0.02177239404
255	0.0215192162
256	0.02122882198
257	0.0211685645
258	0.02111690878
259	0.02104713929
260	0.02088917471
261	0.02077870314
262	0.02067795612
263	0.02055091324
264	0.02039216882
265	0.02033296008
266	0.02029424491
267	0.0200475317
268	0.01980926455
269	0.01969864201
